article,date,lien,title
"['Nidaa Tounes a annoncé dans un communiqué rendu public ce vendredi que le président de la République, Béji Caid Essebsi, avait reçu le chef du Gouvernement Youssef Chahed et Caid Essebsi junior à l\'hôpital militaire.', ""Nidaa Tounes a annoncé dans un communiqué rendu public ce vendredi que le président de la République, Béji Caid Essebsi, avait reçu le chef du Gouvernement Youssef Chahed et Caid Essebsi junior à l'hôpital militaire."", 'Ils lui ont fait état de la situation globale du pays et des événements à venir, selon le communiqué.']", 28 Juin 2019 22:19,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/569394/chahed-et-caid-essebsi-junior-rendent-visite-au-president,Chahed et Caid Essebsi junior rendent visite au Président 
"['Mosaïque FM a appris que le président du Parlement, Mohamed Naceur, a interrompu son congé\xa0maladie afin de se rendre à l\'Assemblée des représentants du peuple.\xa0', ""Mosaïque FM a appris que le président du Parlement, Mohamed Naceur, a interrompu son congé\xa0maladie afin de se rendre à l'Assemblée des représentants du peuple.\xa0"", 'Il s\'en était, en effet, absenté depuis quelques jours en raison d\'un malaise.', 'Il est attendu que Mohamed Naceur préside la réunion des présidents des blocs parlementaires.']", 27 Juin 2019 14:41,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568319/mohamed-naceur-se-rend-au-parlement,Mohamed Naceur se rend au Parlement
"['Nidaa Tounes a proposé au président de la République, Béji Caid Essebsi, de se présenter pour un nouveau mandat présidentiel, selon le représentant légal du parti, Hafedh Caid Essebsi.', 'Nidaa Tounes a proposé au président de la République, Béji Caid Essebsi, de se présenter pour un nouveau mandat présidentiel, selon le représentant légal du parti, Hafedh Caid Essebsi.', '""Nous attendons encore son accord"", a t-il indiqué.', 'HCE a ajouté que Nidaa Tounes pourra s\'allier à Tahya Tounes, le parti de Youssef Chahed, après les prochaines élections, afin de faire face ensemble à la crise.']", 25 Juin 2019 23:34,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/567364/caid-essebsi-se-presenterait-a-un-second-mandat-presidentiel,Caid Essebsi se présenterait à un second mandat présidentiel
"['Le bureau politique de Nidaa Tounes a déclaré ce mardi que le parti avait décidé de se présenter aux Légistatives avec sa propre liste.', 'Le bureau politique de Nidaa Tounes a déclaré ce mardi que le parti avait décidé de se présenter aux Légistatives avec sa propre liste.', 'Le dirigeant Hafedh Caid Essebsi a indiqué qu\'il a été surpris par la décision de démission de Neji Jalloul et surtout à une telle période critique.', 'Il a toutefois nié l\'existence d\'un marché selon lequel un accord a été établi entre Nidaa Tounes et le Gouvernement afin de faire passer les amendements de la loi électorale en contre partie de la reconnaissance du clan de Monastir en tant que représentant légal du mouvement.']", 25 Juin 2019 22:29,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/567329/hce-il-n-y-aucun-accord-entre-nidaa-tounes-et-le-gouvernement,HCE :  Il n'y aucun accord entre Nidaa Tounes et le Gouvernement
"['L’instance de contrôle de la constitutionnalité des lois a reçu une demande du chef du gouvernement Youssef Chahed d\'accélérer la révision des recours déposés au sujet de l\'amendement de la loi électorale, approuvé récemment au parlement, a assuré Hayder Ben Amor, président de l\'instance.', 'Il est à rappeler que 51 députés ont signé une pétition contre l\'amendement de la loi électorale.', '']", 27 Juin 2019 09:28,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568079/loi-electorale-chahed-appelle-a-la-revision-des-recours-deposes,Loi électorale: Chahed appelle à la révision des recours déposés
"['Neji Jalloul a annoncé , officiellement, sa démission du poste de secrétaire général de Nidaa Tounes (clan de Monastir).', 'Neji Jalloul a annoncé , officiellement, sa démission du poste de secrétaire général de Nidaa Tounes (clan de Monastir).', 'Dans un communiqué rendu public ce lundi, Jalloul a expliqué qu\'il avait pris la décision de démissionner depuis un bon moment mais qu\'il a préféré patienter avant de l\'annoncer vu la situation critique du parti. Et d\'ajouter qu\'il avait toujours défendu le mouvement et ses structures et non les personnes.', 'Nombre de médias ont, en effet, relayé l\'information liée à la démission de Jalloul faisant savoir qu\'il allait être remplacé par Ali Hafsi.']", 24 Juin 2019 14:46,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/566349/neji-jalloul-quitte-definitivement-nidaa-tounes,Neji Jalloul quitte définitivement Nidaa Tounes
"['Mosaïque FM a appris que les présidents des blocs parlementaires ont affirmé, à l\'unanimité, qu\'il n\'y aucune vacance officielle au niveau de la présidence de la République.', ""Mosaïque FM a appris que les présidents des blocs parlementaires ont affirmé, à l'unanimité, qu'il n'y aucune vacance officielle au niveau de la présidence de la République."", 'Mohamed Naceur a, dans ce sens, souhaité prompt rétablissement à Caid Essebsi qui a été victime d\'un deuxième malaise qualifié d\'aigu.', '""Nous sommes de tout coeur avec Monsieur le président."", s\'est-il exprimé.']", 27 Juin 2019 16:57,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568439/il-n-y-a-pas-de-vacance-a-la-presidence-de-la-republique,'Il n'y a pas de vacance à la présidence de la République'
"['Le membre du bureau de l\'Assemblée des représentants du peuple, Ghazi Chaouachi, a déclaré à Mosaique FM que les partis au pouvoir évitent d\'évoquer l\'état de santé du président de la République, Béji Caid Essebsi ainsi que la vacance provisoire ou définitive de son poste, étant donné que Mohamed Naceur avait rassuré tout le monde à son sujet. Et d\'appeler le Parlement à substituer le Tribunal constitutionnel.', ""Le membre du bureau de l'Assemblée des représentants du peuple, Ghazi Chaouachi, a déclaré à Mosaique FM que les partis au pouvoir évitent d'évoquer l'état de santé du président de la République, Béji Caid Essebsi ainsi que la vacance provisoire ou définitive de son poste, étant donné que Mohamed Naceur avait rassuré tout le monde à son sujet. Et d'appeler le Parlement à substituer le Tribunal constitutionnel."", '""Le Parlement devra s\'apprêter à faire face à toutes les situations et assumer sa responsabilité en ce qui concerne une éventuelle vacance du poste du président de la République dans le but de prendre les mesures nécessaires."", a-t-il expliqué.', 'Chaouachi a mis en garde contre un vide dudit poste même pour un petit lapse de temps car ce serait le début de l\'anarchie.  \xa0']", 27 Juin 2019 17:27,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568464/chaouachi-les-deputes-evitent-d-evoquer-l-etat-de-sante-de-bce,Chaouachi : Les députés évitent d'évoquer l'état de santé de BCE
"['Le parti tunisien pour la paix sociale, créé officiellement le 20 juin 2019, a annoncé dans un communiqué\xa0 qu’il a changé de nom en devenant ""Au Cœur de Tunisie"".', 'Le parti a annoncé que le fondateur de la chaîne Nessma TV, Nabil Karoui a été désigné président alors que Feti Houidi a été nommé coordinatrice générale. Par ailleurs, Samira Chaouachi a été désignée porte-parole du parti.', '', '\xa0']", 25 Juin 2019 08:34,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/566794/nabil-karoui-a-la-tete-d-un-parti-politique,"Nabil Karoui, à la tête d’un parti politique (Photos)"
"['Le leader d\'Ennahdha Rached Ghannouchi a, souhaité un prompt rétablissement au président de la République Béji Caïed Essebsi, ce dimanche 23 juin, lors de son allocution à l\'occasion de l\'achèvement de la troisième conférence annuelle des cadres du mouvement.', 'Rappelons que vendredi dernier le chef de l\'Etat avait effectué des analyses à l\'hôpital militaire suite à un léger malaise et qu\'il se porte bien.', '']", 23 Juin 2019 21:28,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/566079/ghannouchi-souhaite-un-prompt-retablissement-a-bce,Ghannouchi souhaite un prompt rétablissement à BCE (Vidéos)
