article,date,lien,title
"Le secrétaire général du Parti Tahya Tounes (Vive la Tunisie) Slim Azzabi a annoncé dimanche la désignation de Mustapha Ben Ahmed, vice-président de bureau politique. Cette désignation intervient à la suite de la réunion du bureau politique du parti.,Lors d'un point de presse, Slim Azzabi a déclaré que son parti se présentera avec ses propres listes aux élections législatives prévues le 6 octobre prochain, précisant que les efforts d'unification menés par Tahya Tounes ont réussi uniquement avec Al-Moubadara et Kamel Morjane ""malgré nos mains tendues à toutes les sensibilités politiques centristes"".,Pour sa part, Mustapha Ben Ahmed a indiqué que la réunion du bureau politique se tient à un moment critique au cours duquel la Tunisie à été visée par une opération terroriste ""dangereuse et lâche"", avertissant les Tunisiens qu'ils sont toujours en guerre contre ce fléau. Une opération, a-t-il dit, qui a coïncidé avec la maladie du président Béji Caïd Essebsi.,""Nous nous réjouissons des informations faisant état de l'amélioration de l'état de santé du président de la République et souhaitons qu'il puisse reprendre ses activités rapidement"", a-t-il ajouté.,Mustapha Ben Ahmed a annoncé que le groupe parlementaire Coalition nationale va changer de nom prochainement. Il s'appellera dorénavant Tahya Tounes. Le groupe va poser de nouveau au parlement la question de la Cour constitutionnelle, a-t-il affirmé. Une question qu'il qualifie de ""prioritaire"" et de ""cruciale"", permettant à la Tunisie d'affronter les défis qui se posent.,Il a affirmé l'engagement du parti à respecter les dates fixées pour les échéances électorales prévues les 6 octobre et 17 novembre prochains.,La Cour constitutionnelle n'a pas été créée parce que certains groupes parlementaires n'ont pas tenu leurs promesses et ont voté blanc, a-t-il expliqué. Pour lui, cette instance devrait regrouper tous les acteurs politiques sous le signe fédérateur et enrichissant.,Par ailleurs, Mustapha Ben Ahmed a estimé que le gouvernement a réussi à rétablir la confiance pour l'économie nationale et à améliorer les indicateurs dans les domaines du tourisme et de l'agriculture, évoquant les promesses européennes de sortir la Tunisie des listes noires.,(Source : TAP), ", 30 Juin 2019 17:36,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/570004/m-ben-ahmed-vice-president-de-bureau-politique-de-tahya-tounes,"M.Ben Ahmed, vice-président de bureau politique de Tahya Tounes"
"Le représentant légal de Nidaa Tounes, Hafedh Caid Essebsi a indiqué dans une déclaration accordée à Al Jazeera.net que le président de la république, Béji Caid Essebsi se porte bien et qu’il pourrait quitter l’hôpital demain ou après demain.,Dans ce contexte, Hafedh Caid Essbesi a dénoncé les rumeurs sur le décès de son père qui ont été diffusées par médias du golfe et a mis en garde contre les tentatives de déstabiliser la Tunisie et saboter le processus de transition démocratique dans notre pays.,Hafedh Caid Essebsi a qualifié ce qui s’est passé le 27 mai au parlement de scandale et que certaines parties ont voulu profiter de la situation et de certaines failles de la constitution pour s’emparer du pouvoir., ", 30 Juin 2019 16:59,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/569984/hce-certains-ont-tente-de-s-emparer-du-pouvoir,HCE : certains ont tenté de s’emparer du pouvoir
"Un nouveau parti vient de voir le jour portant le nombre des formations politiques en Tunisie à 219. ,  Il s’agit du ""Mouvement de l’autre alternative"" (al-Khiar al-Akher) présidé par Fethi Saïed, indique, lundi, les services du département chargé des relations avec les Instances constitutionnelles et la Société civile et des Droits de l’Homme.", 01 Juillet 2019 11:53,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/570334/creation-d-un-nouveau-parti-l-autre-alternative,Création d'un nouveau parti ''l'autre alternative''
"Le vice-président de l’Assemblée des représentants du peuple, Abdelfattah Mourou a démenti, dans une déclaration accordée à notre correspondant à l’ARP, Habib Wadhen, les informations selon lesquelles certaines parties ont voulu renverser le président de l’assemblée Mohamed Ennaceur après le malaise dont le président de la république, Béji Caid Essebsi a été victime le 27 juin dernier.,Mourou a précisé qu’il a appelé Mohamed Ennaceur à venir au Bardo après que des députés ont exigé une réunion regroupant le bureau de l’assemblée et les présidents de blocs parlementaires. Il a ajouté qu’il n’a pas coordonné avec Ennahdha après la détérioration de l’état de santé du président de la république.,Abdelfattah Mourou a considéré que le conseil supérieur de la magistrature est la seule autorité capable de remplacer la cour constitutionnelle et de choisir qui remplacera le président de la république en cas de vacance du pouvoir.,Sur un autre plan, Mourou a indiqué qu’il a refusé d’être une tête de liste d’Ennahdha lors des prochaines législatives et qu’il ne sera pas l’oiseau rare convoité par son parti à la présidentielle. ", 01 Juillet 2019 14:00,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/570424/mourou-je-ne-suis-pas-l-oiseau-rare-d-ennahdha,Mourou : ''je ne suis pas l'oiseau rare d'Ennahdha''
"Abdelfattah Mourou, vice-président de l'Assemblée des représentants du peuple a annoncé, la composition d'un nouveau bloc parlementaire nommé le Front Populaire.,Ce bloc, présidé par Haykel Belgacem, est composé des neuf députés démissionnaires du front populaire dissous.", 01 Juillet 2019 10:05,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/570254/officiel-un-nouveau-bloc-parlementaire-nomme-front-populaire,Officiel: Un nouveau bloc parlementaire nommé Front Populaire
"Hassene Fathalli chargé de l'information au sein de l'ARP a affirmé dans une déclaration accordée à Mosaique FM que le président de l'ARP Mohamed Ennacer a appelé les chefs des blocs parlementaires à une réunion qui se tiendra mardi 2 juillet pour examiner la poursuite de l'élection des membres de la cour constitutionnelle et la préparation, de la séance plénière chargée de l'élection des membres de la commission de la bonne gouvernance et de la corruption.", 01 Juillet 2019 18:10,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/570559/arp-examen-de-l-election-des-membres-de-la-cour-constitutionnelle,ARP: Examen de l'élection des membres de la cour constitutionnelle
"Parti le 'coeur de la Tunisie' présidé par Nebil Karoui a annoncé dans un communiqué que plusieurs personnalités ont rejoint ce parti après avoir terminé  les procédures de la création et sa publication publié au JORT le 21 juin 2019, les noms sont les suivants:,  Lamia Fourati, Yadh Elloumi, Ridha Charfeddine, Fathi Houidi, Samira Chaouachi, Oussa Khelifi, Imed Derouich, Dhafer neji, Sadok Jabnoun, Abdennacer Ben Hamida, Walid Mhiri, Mohamed Ben Othman, Hatem Mlika, Maha Aissaoui, Abdelaziz Belkhouja, Walid Mtira, Rafik AMARA, Ines Bousaffara, Jawher Mghirbi, Samir Daghfous, Sami Achour, Sofiene Ben Tounes, Skander Karoui, Lilia Bellil, Adib Jebali, Ourida Derouich, Leila Rayes Hammoudia, Taoufik Ayadi, Mourad Hamzaoui, Lilia Maaref, Houssem Zaied, Slim Saied, Sofiene Habachi, Wissem Khalbous, Mohamed Ali Saied.", 01 Juillet 2019 20:26,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/570644/charfeddine-parmi-les-nouveaux-adherents-au-parti-de-nabil-karoui,Charfeddine parmi les nouveaux adhérents au parti de Nabil Karoui
article,date,lien,title
"Dans un tweet publié sur son compte Twitter, l’Ambassade des États-Unis à Tunis a annoncé que ses locaux seront fermés au public, durant la journée du 1,er, Juillet 2019, pour des raisons sécuritaires.,La même source a précisé que les services d’urgence de l’ambassade resteront opérationnels.,Aucune autre précision n’a été donnée sur cette alerte., ",01/07/2019,https://tunivisions.net/26371/lambassade-us-a-tunis-restera-fermee-ce-1er-juillet-2019-pour-des-raisons-de-securite/,L’Ambassade US à Tunis restera fermée ce 1er Juillet 2019 pour des raisons de sécurité
article,date,lien,title
"Ennahdha a réagi ce lundi 1er juillet 2019 à la polémique autour du retard de la création de la cour constitutionnelle et de la vacance institutionnelle qui s’en suit, par le truchement d’un communiqué rendu public, selon lequel le mouvement islamiste a dénoncé les pratiques de certaines parties « hostiles » au choix démocratique, et inscrites dans des agendas suspects. Ennahdha a indiqué que ces parties exploitent le malaise du chef de l’Etat afin de semer la panique et la discorde et par conséquent menacer la paix civile.,
L’état de santé du président a relancé la question de l’institution de la cour constitutionnelle, en situation de blocage depuis 5 ans,  faute de consensus à l’Assemblée des représentants du peuple autour des personnalités qui y siégeront.,
Dans ce contexte, le parti islamiste a appelé à l’accélération de la formation la cour constitutionnelle et à l’amendement de la loi relative à l’Instance provisoire de contrôle de constitutionnalité des projets de lois (IPCCPL) tout en lui accordant certaines compétences de la Cour constitutionnelle.,
L’Instance provisoire de contrôle de constitutionnalité des projets de lois aura selon le parti islamiste, certaines compétences de la Cour constitutionnelle “en attendant” la création de cette dernière, ce qui permettrait un gain de temps, face à des questions épineuses, telles que la « vacance du pouvoir”.",1 juillet  2019  - 22:03:27,https://www.realites.com.tn/2019/07/cour-constitutionnelle-ennahdha-propose-une-solution/,Cour constitutionnelle: Ennahdha propose une « solution »
"Le chef du mouvement Ennahdha Rached Ghannouchi a affirmé que, hantées par la haine, certaines parties politiques en Tunisie tentent à tout prix de dénigrer l’ensemble des partis islamiques à travers le monde. Il a dans ce contexte dénoncé le comportement de certains tunisiens qui se sont félicités de la défaite du Parti de la justice et du développement (AKP) lors des élections municipales d’Istanbul qui se sont déroulées au mois de juin dernier.,
Rached Ghannouchi qui s’exprimait lors d’une interview accordée dans la soirée du dimanche 30 juin 2019 à la chaîne privée Hannibal, a ajouté que la défaite du parti au pouvoir en Turquie lors des élections d’Istanbul vient de prouver au monde entier que la Turquie est une vraie démocratie.,
Par ailleurs, il a affirmé que certaines personnes pourraient même, prédire la défaite du mouvement Ennahdha lors des prochaines élections, en se basant tout simplement sur la défaite d’un parti islamique aux élections régionales à Honolulu.",1 juillet  2019  - 14:55:27,https://www.realites.com.tn/2019/07/ghannouchi-adresse-un-message-a-ceux-qui-se-sont-felicites-de-la-defaite-derdogan/,Ghannouchi adresse un message à ceux qui se sont félicités de la défaite d’Erdogan
"Plusieurs acteurs de la scène politique ont appelé à la publication du dossier médical du président de la République, notamment depuis les deux derniers malaises qu’il a subis. Pour mettre fin à la polémique, la porte-parole de la présidence de la République, Saïda Garrache, a assuré que le dossier en question sera publié pour que l’opinion publique puisse le consulter. ,, a-t-elle déclaré dans Midi Show ce lundi 1er juillet 2019.,
Au sujet de la santé du Chef de l’État, la porte-parole de Carthage a souligné qu’il se porte nettement mieux, et qu’il quittera l’hôpital Militaire de Tunis dès l’obtention de l’autorisation du personnel médical. Elle ignore, néanmoins, la date exacte de ce départ de l’hôpital. Elle affirme, aussi, qu’elle ne peut évoquer la nature du malaise du Chef de l’État ,. La seule partie qui peut le faire, selon elle, est le personnel médical qui s’occupe du président de la République.",1 juillet  2019  - 13:27:45,https://www.realites.com.tn/2019/07/le-dossier-medical-de-bce-bientot-devoile-au-public/,Le dossier médical de BCE bientôt dévoilé au public
"Tahya Tounes s’est vu confronté à la toute première démission de l’un de ses responsables. Il s’agit de Mohamed Anouar Laadhar, un député. Selon des sources concordantes, il a annoncé sa démission samedi 29 juin 2019, évoquant des raisons personnelles. ,, s’est-il contenté d’affirmer.,
Tahya Tounes confirme, enfin, son statut de rejeton de Nidaa Tounes. A à peine quelques mois de son officialisation, il fait déjà face à sa première démission. Le parti, d’un autre côté, semble avoir perdu la dynamique qui l’animait durant sa genèse et, d’ailleurs, les derniers sondages, même s’ils sont contestables, en témoignent.",30 juin  2019  - 11:11:44,https://www.realites.com.tn/2019/06/tahya-tounes-ne-se-sentant-plus-a-laise-un-depute-demissionne/,"Tahya Tounes : ne se sentant plus à l’aise, un député démissionne"
"L’agitation sur la scène politique était totale suite à l’annonce du second malaise du président de la République, faite le jeudi 27 juin dernier. Certaines parties ont été accusées d’avoir voulu prendre le pouvoir en exploitant les failles de la loi. Abdelfattah Mourou, premier vice-président de l’Assemblée des Représentants du Peuple (ARP) n’a pas échappé à ces accusations.,
S’exprimant dans l’édition hebdomadaire du quotidien Assabah, parue ce lundi 1er juillet 2019, il rejeté ces accusations. ,, a-t-il lâché. Mourou a rappelé qu’il a été accusé d’avoir rassemblé les députés à l’ARP pour planifier un coup d’État. ,, a-t-il expliqué.,
D’autre part, le premier vice-président de l’ARP est revenu sur sa possible démission de son poste. ,, a-t-il précisé. Au sujet d’une éventuelle visite effectuée auprès du président de la République à l’hôpital Militaire de Tunis, Abdelfattah Mourou a souligné qu’il n’avait pas rendu visite au président, mais qu’il disposait d’informations relatives à son état de santé.,, a-t-il dit à ce sujet.",1 juillet  2019  - 10:53:04,https://www.realites.com.tn/2019/07/accuse-davoir-voulu-prendre-le-pouvoir-abdelfattah-mourou-reagit/,"Accusé d’avoir voulu prendre le pouvoir, Abdelfattah Mourou réagit"
"Savez-vous combien de partis politiques existent actuellement en Tunisie ? Il y a de quoi faire tourner la tête à plus d’un. Annonce après annonce, on finit par perdre le compte ! Désormais, nous sommes exactement à 219 partis politiques selon les données du ministère chargé des relations avec les instances constitutionnelles, avec la société civile et chargé des Droits de l’Homme.,
Le 219ème parti vient de décrocher son autorisation. Il s’agit de , (mouvement de l’autre choix). Il est présidé par Fathi Saïd. On ignore encore quel sera le programme de ce nouveau-né de la scène politique, mais il ne devrait pas être différent de ce que nous avons déjà vu jusqu’à présent : rassembler la famille centriste, offrir une alternative aux tunisiens, et bien d’autres slogans devenus répétitifs.",1 juillet  2019  - 11:27:08,https://www.realites.com.tn/2019/07/un-nouveau-parti-politique-dans-le-brouhaha-des-partis/,Un nouveau parti politique dans le brouhaha des partis
article,date,lien,title
