article,date,lien,title,label
"Mosaïque FM a appris que le président du Parlement, Mohamed Naceur, a interrompu son congé maladie afin de se rendre à l'Assemblée des représentants du peuple. ,Il s'en était, en effet, absenté depuis quelques jours en raison d'un malaise.,Il est attendu que Mohamed Naceur préside la réunion des présidents des blocs parlementaires.", 27 Juin 2019 14:41,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568319/mohamed-naceur-se-rend-au-parlement,Mohamed Naceur se rend au Parlement,autres
"Mosaïque FM a appris que les présidents des blocs parlementaires ont affirmé, à l'unanimité, qu'il n'y aucune vacance officielle au niveau de la présidence de la République.,Mohamed Naceur a, dans ce sens, souhaité prompt rétablissement à Caid Essebsi qui a été victime d'un deuxième malaise qualifié d'aigu.,""Nous sommes de tout coeur avec Monsieur le président."", s'est-il exprimé.", 27 Juin 2019 16:57,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568439/il-n-y-a-pas-de-vacance-a-la-presidence-de-la-republique,'Il n'y a pas de vacance à la présidence de la République',autres
"Nidaa Tounes a annoncé dans un communiqué rendu public ce vendredi que le président de la République, Béji Caid Essebsi, avait reçu le chef du Gouvernement Youssef Chahed et Caid Essebsi junior à l'hôpital militaire.,Ils lui ont fait état de la situation globale du pays et des événements à venir, selon le communiqué.", 28 Juin 2019 22:19,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/569394/chahed-et-caid-essebsi-junior-rendent-visite-au-president,Chahed et Caid Essebsi junior rendent visite au Président ,nidaa
"L’instance de contrôle de la constitutionnalité des lois a reçu une demande du chef du gouvernement Youssef Chahed d'accélérer la révision des recours déposés au sujet de l'amendement de la loi électorale, approuvé récemment au parlement, a assuré Hayder Ben Amor, président de l'instance.,Il est à rappeler que 51 députés ont signé une pétition contre l'amendement de la loi électorale.", 27 Juin 2019 09:28,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568079/loi-electorale-chahed-appelle-a-la-revision-des-recours-deposes,Loi électorale: Chahed appelle à la révision des recours déposés,autres
"Le parti tunisien pour la paix sociale, créé officiellement le 20 juin 2019, a annoncé dans un communiqué  qu’il a changé de nom en devenant ""Au Cœur de Tunisie"".,Le parti a annoncé que le fondateur de la chaîne Nessma TV, Nabil Karoui a été désigné président alors que Feti Houidi a été nommé coordinatrice générale. Par ailleurs, Samira Chaouachi a été désignée porte-parole du parti., ", 25 Juin 2019 08:34,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/566794/nabil-karoui-a-la-tete-d-un-parti-politique,"Nabil Karoui, à la tête d’un parti politique (Photos)",autres
"Le représentant légal de Nidaa Tounes, Hafedh Caid Essebsi a indiqué dans une déclaration accordée à Al Jazeera.net que le président de la république, Béji Caid Essebsi se porte bien et qu’il pourrait quitter l’hôpital demain ou après demain.,Dans ce contexte, Hafedh Caid Essbesi a dénoncé les rumeurs sur le décès de son père qui ont été diffusées par médias du golfe et a mis en garde contre les tentatives de déstabiliser la Tunisie et saboter le processus de transition démocratique dans notre pays.,Hafedh Caid Essebsi a qualifié ce qui s’est passé le 27 mai au parlement de scandale et que certaines parties ont voulu profiter de la situation et de certaines failles de la constitution pour s’emparer du pouvoir., ", 30 Juin 2019 16:59,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/569984/hce-certains-ont-tente-de-s-emparer-du-pouvoir,HCE : certains ont tenté de s’emparer du pouvoir,nidaa
"Le bureau politique de Nidaa Tounes a déclaré ce mardi que le parti avait décidé de se présenter aux Légistatives avec sa propre liste.,Le dirigeant Hafedh Caid Essebsi a indiqué qu'il a été surpris par la décision de démission de Neji Jalloul et surtout à une telle période critique.,Il a toutefois nié l'existence d'un marché selon lequel un accord a été établi entre Nidaa Tounes et le Gouvernement afin de faire passer les amendements de la loi électorale en contre partie de la reconnaissance du clan de Monastir en tant que représentant légal du mouvement.", 25 Juin 2019 22:29,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/567329/hce-il-n-y-aucun-accord-entre-nidaa-tounes-et-le-gouvernement,HCE :  Il n'y aucun accord entre Nidaa Tounes et le Gouvernement,nidaa
"Le membre du bureau de l'Assemblée des représentants du peuple, Ghazi Chaouachi, a déclaré à Mosaique FM que les partis au pouvoir évitent d'évoquer l'état de santé du président de la République, Béji Caid Essebsi ainsi que la vacance provisoire ou définitive de son poste, étant donné que Mohamed Naceur avait rassuré tout le monde à son sujet. Et d'appeler le Parlement à substituer le Tribunal constitutionnel.,""Le Parlement devra s'apprêter à faire face à toutes les situations et assumer sa responsabilité en ce qui concerne une éventuelle vacance du poste du président de la République dans le but de prendre les mesures nécessaires."", a-t-il expliqué.,Chaouachi a mis en garde contre un vide dudit poste même pour un petit lapse de temps car ce serait le début de l'anarchie.,   ", 27 Juin 2019 17:27,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/568464/chaouachi-les-deputes-evitent-d-evoquer-l-etat-de-sante-de-bce,Chaouachi : Les députés évitent d'évoquer l'état de santé de BCE,autres
"Nidaa Tounes a proposé au président de la République, Béji Caid Essebsi, de se présenter pour un nouveau mandat présidentiel, selon le représentant légal du parti, Hafedh Caid Essebsi.,""Nous attendons encore son accord"", a t-il indiqué.,HCE a ajouté que Nidaa Tounes pourra s'allier à Tahya Tounes, le parti de Youssef Chahed, après les prochaines élections, afin de faire face ensemble à la crise.", 25 Juin 2019 23:34,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/567364/caid-essebsi-se-presenterait-a-un-second-mandat-presidentiel,Caid Essebsi se présenterait à un second mandat présidentiel,nidaa
"Le secrétaire général du Parti Tahya Tounes (Vive la Tunisie) Slim Azzabi a annoncé dimanche la désignation de Mustapha Ben Ahmed, vice-président de bureau politique. Cette désignation intervient à la suite de la réunion du bureau politique du parti.,Lors d'un point de presse, Slim Azzabi a déclaré que son parti se présentera avec ses propres listes aux élections législatives prévues le 6 octobre prochain, précisant que les efforts d'unification menés par Tahya Tounes ont réussi uniquement avec Al-Moubadara et Kamel Morjane ""malgré nos mains tendues à toutes les sensibilités politiques centristes"".,Pour sa part, Mustapha Ben Ahmed a indiqué que la réunion du bureau politique se tient à un moment critique au cours duquel la Tunisie à été visée par une opération terroriste ""dangereuse et lâche"", avertissant les Tunisiens qu'ils sont toujours en guerre contre ce fléau. Une opération, a-t-il dit, qui a coïncidé avec la maladie du président Béji Caïd Essebsi.,""Nous nous réjouissons des informations faisant état de l'amélioration de l'état de santé du président de la République et souhaitons qu'il puisse reprendre ses activités rapidement"", a-t-il ajouté.,Mustapha Ben Ahmed a annoncé que le groupe parlementaire Coalition nationale va changer de nom prochainement. Il s'appellera dorénavant Tahya Tounes. Le groupe va poser de nouveau au parlement la question de la Cour constitutionnelle, a-t-il affirmé. Une question qu'il qualifie de ""prioritaire"" et de ""cruciale"", permettant à la Tunisie d'affronter les défis qui se posent.,Il a affirmé l'engagement du parti à respecter les dates fixées pour les échéances électorales prévues les 6 octobre et 17 novembre prochains.,La Cour constitutionnelle n'a pas été créée parce que certains groupes parlementaires n'ont pas tenu leurs promesses et ont voté blanc, a-t-il expliqué. Pour lui, cette instance devrait regrouper tous les acteurs politiques sous le signe fédérateur et enrichissant.,Par ailleurs, Mustapha Ben Ahmed a estimé que le gouvernement a réussi à rétablir la confiance pour l'économie nationale et à améliorer les indicateurs dans les domaines du tourisme et de l'agriculture, évoquant les promesses européennes de sortir la Tunisie des listes noires.,(Source : TAP), ", 30 Juin 2019 17:36,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/570004/m-ben-ahmed-vice-president-de-bureau-politique-de-tahya-tounes,"M.Ben Ahmed, vice-président de bureau politique de Tahya Tounes",autres
